word,frequency,id
students,705,0
subject,699,1
learning,571,2
outcomes,357,3
assessment,330,4
intended,326,5
student,318,6
project,312,7
study,293,8
hrs,292,9
skills,268,10
systems,248,11
effort,243,12
knowledge,243,13
data,236,14
computing,211,15
information,209,16
design,206,17
concepts,206,18
computer,205,19
assignments,202,20
security,196,21
edition,191,22
programming,188,23
methods,188,24
problems,177,25
total,169,26
understand,166,27
dec,166,28
projects,162,29
software,161,30
management,157,31
other,156,32
social,153,33
comp,152,34
objectives,152,35
class,144,36
techniques,144,37
applications,143,38
problem,137,39
lectures,136,40
development,135,41
examination,126,42
develop,121,43
understanding,121,44
issues,120,45
solving,119,46
prerequisite,119,47
business,119,48
analysis,118,49
system,118,50
service,111,51
specific,110,52
technology,106,53
expected,105,54
reading,105,55
able,104,56
appropriate,103,57
work,103,58
assessed,102,59
form,99,60
value,96,61
different,96,62
principles,96,63
code,92,64
methodology,92,65
provide,92,66
continuous,90,67
alignment,89,68
using,88,69
syllabus,88,70
basic,87,71
used,87,72
weighting,87,73
completion,86,74
introduction,86,75
tools,86,76
level,85,77
exclusion,85,78
apply,85,79
credit,83,80
exercises,83,81
description,82,82
synopsis,82,83
indicative,82,84
application,82,85
title,81,86
designed,81,87
list,81,88
practice,80,89
references,80,90
reference,80,91
tutorials,80,92
mobile,80,93
contact,79,94
practical,79,95
teaching,78,96
web,77,97
attributes,77,98
algorithms,77,99
solutions,76,100
lecture,75,101
methodstasks,75,102
solve,74,103
please,74,104
topic,74,105
thinking,73,106
process,73,107
case,73,108
technologies,73,109
various,72,110
ability,72,111
internet,72,112
presentation,71,113
learn,70,114
how,70,115
tick,70,116
books,69,117
networks,68,118
required,68,119
academic,68,120
corequisite,67,121
quizzes,67,122
models,67,123
professionalacademic,66,124
programme,66,125
technical,66,126
seminars,62,127
such,61,128
outcome,61,129
network,61,130
team,61,131
fintech,61,132
language,60,133
also,60,134
lab,60,135
allroundedness,60,136
writing,60,137
group,59,138
processing,58,139
hours,58,140
testing,56,141
digital,56,142
use,55,143
experience,54,144
final,54,145
sessions,53,146
topics,53,147
computational,51,148
press,51,149
database,51,150
andor,50,151
course,49,152
relevant,49,153
related,49,154
report,49,155
hall,48,156
research,48,157
studies,47,158
explanation,46,159
assessing,46,160
prentice,46,161
mining,46,162
human,45,163
assess,45,164
entrepreneurship,45,165
communication,45,166
laboratory,44,167
help,44,168
interaction,44,169
critical,44,170
architecture,43,171
appropriateness,42,172
including,42,173
which,42,174
ethical,42,175
control,41,176
review,41,177
evaluate,41,178
planning,41,179
game,41,180
midterm,40,181
introduce,40,182
aspects,40,183
services,40,184
cid,40,185
tutorial,39,186
tests,39,187
cloud,39,188
ilo,39,189
intelligence,39,190
last,38,191
update,38,192
components,38,193
effectively,38,194
contributes,38,195
ebusiness,38,196
servicelearning,38,197
middleware,38,198
fundamental,37,199
test,37,200
workshops,37,201
wiley,37,202
ethics,37,203
acquire,36,204
implementation,36,205
languages,36,206
ieee,36,207
global,36,208
new,36,209
engineering,36,210
equip,35,211
types,35,212
structures,35,213
handson,35,214
include,35,215
supervisor,35,216
approach,34,217
activities,34,218
well,34,219
guide,34,220
multimedia,34,221
functions,33,222
performance,33,223
impact,33,224
etc,33,225
major,33,226
present,33,227
given,32,228
online,32,229
materials,32,230
search,32,231
society,32,232
have,32,233
real,32,234
enterprise,32,235
protocols,32,236
examples,31,237
selfstudy,31,238
company,31,239
embedded,31,240
analyze,31,241
model,30,242
approaches,30,243
university,30,244
groups,30,245
professional,30,246
complete,30,247
evaluation,30,248
organization,30,249
implement,29,250
more,29,251
opportunity,29,252
strategies,29,253
world,29,254
tasks,29,255
financial,28,256
demonstrate,28,257
what,28,258
complex,28,259
written,28,260
requirements,28,261
media,28,262
good,28,263
not,28,264
support,28,265
privacy,28,266
concept,28,267
ecommerce,28,268
image,28,269
internship,28,270
reallife,27,271
advanced,27,272
independently,27,273
representation,27,274
based,27,275
china,27,276
write,27,277
common,27,278
tutoriallab,27,279
paradigms,27,280
community,27,281
machine,27,282
legal,27,283
placement,27,284
teachinglearning,26,285
games,26,286
role,26,287
overview,26,288
operating,26,289
individual,26,290
industry,26,291
reports,26,292
environment,26,293
leadership,26,294
note,25,295
journals,25,296
operations,25,297
plan,25,298
semester,25,299
july,25,300
characteristics,25,301
theory,25,302
vision,25,303
nil,24,304
modeling,24,305
distributed,24,306
acm,24,307
challenges,24,308
material,24,309
labs,24,310
unix,24,311
crowdfunding,24,312
workflow,24,313
artificial,24,314
set,23,315
developing,23,316
systematic,23,317
identify,23,318
taught,23,319
improve,23,320
analytics,23,321
integration,23,322
content,23,323
user,23,324
intellectual,23,325
needs,23,326
communicate,23,327
mcgrawhill,23,328
retrieval,23,329
problemsolving,22,330
decision,22,331
think,22,332
addison,22,333
wesley,22,334
appreciate,22,335
pearson,22,336
own,22,337
platforms,22,338
entrepreneurial,22,339
property,22,340
protection,22,341
gain,22,342
authentication,22,343
quality,22,344
preparation,22,345
presentations,22,346
big,22,347
analyzing,21,348
two,21,349
science,21,350
international,21,351
statistical,21,352
fundamentals,21,353
reinforce,21,354
learned,21,355
elearning,21,356
need,21,357
independent,21,358
when,21,359
time,20,360
assessments,20,361
modern,20,362
together,20,363
interactive,20,364
teach,20,365
opportunities,20,366
theories,20,367
technological,20,368
cases,20,369
objectoriented,20,370
cryptography,20,371
reflective,20,372
attacks,20,373
exam,19,374
grade,19,375
networking,19,376
factors,19,377
nature,19,378
reflection,19,379
wireless,19,380
payment,19,381
biometrics,19,382
python,18,383
cover,18,384
john,18,385
there,18,386
solution,18,387
structure,18,388
background,18,389
term,18,390
interactions,18,391
processes,18,392
designing,18,393
industrial,18,394
textbook,18,395
interface,18,396
responsibilities,18,397
protocol,18,398
module,18,399
ideas,17,400
facilitate,17,401
programs,17,402
questions,17,403
book,17,404
key,17,405
comprehensive,17,406
integrity,17,407
first,17,408
give,17,409
discussion,17,410
train,17,411
springer,17,412
chinese,17,413
applying,17,414
link,17,415
strategy,17,416
standards,17,417
learnt,17,418
responsibility,17,419
engagement,17,420
warehouse,17,421
typical,17,422
audit,17,423
year,17,424
program,16,425
possess,16,426
flow,16,427
communications,16,428
encouraged,16,429
critically,16,430
developments,16,431
finance,16,432
conducted,16,433
training,16,434
organizations,16,435
interfaces,16,436
oral,16,437
reflect,16,438
possible,16,439
rendering,16,440
risk,16,441
architectures,16,442
proceedings,16,443
mainly,15,444
associates,15,445
logic,15,446
lifelong,15,447
graphics,15,448
articles,15,449
practices,15,450
enhance,15,451
discussions,15,452
android,15,453
relationship,15,454
literacy,15,455
innovative,15,456
speakers,15,457
why,15,458
proposal,15,459
future,15,460
mathematical,15,461
object,15,462
effective,15,463
xml,15,464
electronic,15,465
encryption,15,466
documentation,15,467
routing,15,468
physical,15,469
civic,15,470
customer,15,471
cryptocurrency,15,472
capstone,15,473
main,14,474
achieve,14,475
computation,14,476
analytical,14,477
elements,14,478
creative,14,479
recent,14,480
scenarios,14,481
items,14,482
local,14,483
three,14,484
small,14,485
proper,14,486
demonstration,14,487
virtual,14,488
build,14,489
threats,14,490
ict,14,491
companies,14,492
view,14,493
education,14,494
realworld,14,495
popular,14,496
java,14,497
patterns,14,498
regular,14,499
commerce,14,500
part,14,501
detection,14,502
device,14,503
divide,14,504
building,14,505
crm,14,506
important,14,507
publications,14,508
logistics,14,509
computers,13,510
objects,13,511
logical,13,512
controls,13,513
